Date,WindS,WindDir,RelHum,AirT,SWin
230519932345,1.424,68.150018,83.299997,-1.176,22.25
240519930015,1.738,68.53001,86.599998,-2.221,14.74
240519930045,1.986,68.050017,87.599997,-2.637,10.04
240519930115,1.899,56.640005,88.700003,-3.287,7.42
240519930145,1.603,60.470017,89.799997,-3.588,6.617
240519930215,1.454,62.200011,89.700001,-3.727,7
240519930245,0.862,74.39999,89.500003,-3.866,9.04
240519930315,1.251,51.649993,89.2,-4.091,13.38
240519930345,1.485,39.690004,89.199998,-4.408,21.06
240519930415,1.167,24.919984,89.399999,-4.359,35.53
240519930445,1.155,30.13001,88.900001,-4.007,57.55
240519930515,1.377,30.830001,87.599999,-3.615,85.3
240519930545,1.897,27.47,86.399999,-3.423,118.6
240519930615,1.749999,19.709997,86.900001,-3.396,157.5
240519930645,1.653,18.520006,87.299999,-3.004,203
240519930715,0.922,35.599977,84.500002,-1.409,251.2
240519930745,1.442,77.499998,80,-0.257,296.1
240519930815,1.776,85.600001,78.799999,0.039,359.8
240519930845,1.757,83.799995,77.000002,1.071,413.6
240519930915,2.517,77.499989,76.800001,1.193,468.1
240519930945,2.702,177.799997,76.000003,1.746,520.8
240519931015,3.112,173.000008,73.900002,2.377,569.3
240519931045,3.74,162.400005,72.000001,2.858,615.4
240519931115,3.874,169.699998,69.450002,3.032,653.8
240519931145,3.949,168.500001,68.239999,3.13,687.1
240519931215,4.479,169.100006,67.839999,3.192,715
240519931245,5.005,85.199996,68.74,3.053,730
240519931315,4.668,176.400002,68.870002,3.334,742
240519931345,4.849,86.400003,68.859998,3.44,743
240519931415,4.881,175.700002,66.89,3.678,738
240519931445,4.909,87.9,66.149999,3.757,723
240519931515,4.717,79.399994,66.029998,3.77,700
240519931545,4.818,77.000002,66.510001,3.863,670.9
240519931615,4.976,75.299994,66.649999,3.947,635.9
240519931645,5.166,75.000003,66.469998,4.022,597.5
240519931715,5.374,72.999996,66.69,4.065,554
240519931745,4.704,61.749997,68.109999,4.135,504.8
240519931815,4.514,55.299996,68.999999,4.165,454.5
240519931845,3.964,54.479997,69.709998,4.171,404.2
240519931915,3.954,56.630005,70.200001,4.169,351.3
240519931945,3.97,53.399994,71.2,3.918,299.7
240519932015,3.846,53.140009,72.999998,3.579,250.1
240519932045,3.821,49.120002,74.600001,3.26,202.5
240519932115,3.254,52.060007,75.7,3.036,160.3
240519932145,3.157,48.220004,77.1,2.67,123.3
240519932215,2.991,46.839996,78.999998,2.148,89.6
240519932245,2.543,43.410006,81.800001,1.459,61.13
240519932315,1.867,39.040002,84.6,0.783,37.87
240519932345,1.778999,38.179995,85.400003,0.382,24
250519930015,1.935,43.8,85.4,-0.03,16.26
250519930045,1.899,35.520018,85.399997,-0.592,11.27
250519930115,1.086,34.810014,87.300001,-1.138,8.38
250519930145,1.294,82.69998,87.699997,-1.688,7.08
250519930215,1.141,173.100006,87.700002,-1.378,7.34
250519930245,0.623,167.300016,87.300003,-1.578,9.17
250519930315,1.227,81.700002,85.100002,-1.151,13.62
250519930345,1.439,53.83002,85.800003,-1.819,21.75
250519930415,1.372,60.640006,86.199999,-1.648,36.75
250519930445,1.444,60.129999,85.999999,-1.729,58.85
250519930515,1.75,55.769994,85.400003,-1.317,86.5
250519930545,1.418,65.649996,83.199999,-0.446,120.4
250519930615,0.898,80.900001,78.7,0.85,160
250519930645,0.789,65.830027,76.300002,1.585,204
250519930715,1.598,151.100002,73.599998,2.991,254.9
250519930745,2.563,135.599995,71.800001,3.659,302.9
250519930815,3.049,134.899997,69.579999,4.191,366.7
250519930845,3.261,138.1,68.119999,4.646,421
250519930915,3.793,134.399998,67.360002,4.867,474.1
250519930945,3.542,141.199995,66.17,5.304,523.9
250519931015,3.47,168.200005,67.179999,5.095,570.5
250519931045,3.807,172.500004,69.069999,4.694,614.3
250519931115,3.718,165.899994,68.430001,5.043,650.8
250519931145,3.946001,160.2,67.260002,5.435,682.9
250519931215,4.081,157.400003,66.26,5.813,707
250519931245,4.512,159.199993,64.88,6.052,726
250519931315,4.657,161.399992,63.89,6.194,736
250519931345,4.852,156.399995,62.989999,6.551,740
250519931415,4.88,158.000001,60.909999,6.798,733
250519931445,5.472,163.299999,59.519999,6.77,723
250519931515,5.042,160.600006,58.390002,7.06,704
250519931545,4.738,159.600004,57.690001,7.26,674.1
250519931615,4.904,161.700002,56.86,7.33,638.4
250519931645,4.834,159.199999,56.029999,7.54,600.2
250519931715,4.433,156.400003,56.15,7.79,555.5
250519931745,4.772,158.999999,55.680001,7.86,511
250519931815,4.892,158.600002,55.570002,7.72,459.9
250519931845,4.18,157.900007,55.85,7.61,383.1
250519931915,3.768,159.300002,56.27,7.67,343.4
250519931945,3.886,167.800002,56.059999,7.55,295.9
250519932015,3.53,165.800001,56.569998,7.26,245.6
250519932045,2.594,170.599989,59.570001,6.741,183.7
250519932115,1.956,167.199995,62.299998,6.196,134
250519932145,2.077,168.399997,62.809999,5.916,122.3
250519932215,2.187,176.399996,64.640002,5.248,90.6
250519932245,2.303,84.600011,68.61,4.118,64.76
250519932315,2.471,81.30001,71.6,3.224,39.76
250519932345,2.226,81.000002,74.199997,2.614,24.95
260519930015,1.605,78.499983,75.399999,2.204,17.28
