date,Iprec
310819861300,0.10833
10919860100,0
10919861300,0
20919860100,0
20919861300,0
30919860100,0
30919861300,0
40919860100,0.93333
40919861300,0.5
50919860100,0.03333
50919861300,0
60919860100,0
60919861300,0
70919860100,0
70919861300,0
80919860100,0
80919861300,0
90919860100,0.95
90919861300,0.94167
100919860100,1.96667
100919861300,0.15
110919860100,0
110919861300,0
120919860100,0
120919861300,0
130919860100,0
130919861300,0
140919860100,0
140919861300,0
150919860100,0
150919861300,0
160919860100,0
160919861300,0
170919860100,0
170919861300,0
180919860100,0.8
180919861300,0.425
190919860100,0
190919861300,0.15833
200919860100,0
200919861300,0
210919860100,0
210919861300,0
220919860100,0
220919861300,0
230919860100,0
230919861300,0
240919860100,0
240919861300,0
250919860100,0
250919861300,0
260919860100,0.11667
260919861300,0.05
270919860100,0.03333
270919861300,0
280919860100,0.03333
280919861300,0
290919860100,0
290919861300,0
300919860100,0
300919861300,0
11019860100,0
11019861300,0
21019860100,0
21019861300,0
31019860100,0
31019861300,0
41019860100,0
41019861300,0
51019860100,0
51019861300,0
61019860100,0
61019861300,0
71019860100,0
71019861300,0
81019860100,0
81019861300,0.03333
91019860100,0
91019861300,0
101019860100,0
101019861300,0
111019860100,0
111019861300,0
121019860100,0
121019861300,0
131019860100,0
131019861300,0
141019860100,0
141019861300,0
151019860100,0
151019861300,0
161019860100,0
161019861300,0
171019860100,0
171019861300,0
181019860100,0
181019861300,0
191019860100,0.18333
191019861300,0
201019860100,0.05833
201019861300,0.10833
211019860100,0.53333
211019861300,0.08333
221019860100,0
221019861300,0.03333
231019860100,0.03333
231019861300,1.41667
241019860100,0.70833
241019861300,0.175
251019860100,0
251019861300,0
261019860100,0.75833
261019861300,0.8
271019860100,0.91667
271019861300,0.34167
281019860100,0
281019861300,0
291019860100,0
291019861300,0
301019860100,0.15833
301019861300,0
311019860100,0
311019861300,0
11119860100,0
11119861300,0
21119860100,0.03333
21119861300,0.175
31119860100,0.63333
31119861300,0
41119860100,0
41119861300,0
51119860100,0
51119861300,0
61119860100,0.14167
61119861300,0
71119860100,0
71119861300,0
81119860100,0
81119861300,0
91119860100,0
91119861300,0
101119860100,0
101119861300,0
111119860100,0
111119861300,0
121119860100,0
121119861300,0
131119860100,0
131119861300,0
141119860100,0
141119861300,0
151119860100,0.04167
151119861300,0
161119860100,0
161119861300,0
171119860100,0
171119861300,0
181119860100,0.025
181119861300,0
191119860100,0
191119861300,0
201119860100,0
201119861300,0
211119860100,0
211119861300,0.575
221119860100,0.375
221119861300,0.175
231119860100,0.09167
231119861300,1.04167
241119860100,1.46667
241119861300,0.175
251119860100,0
251119861300,0
261119860100,0
261119861300,0
271119860100,0.06667
271119861300,0
281119860100,0
281119861300,0
291119860100,0
291119861300,0
301119860100,0
301119861300,0
11219860100,0
11219861300,0
21219860100,0
21219861300,0
31219860100,0
31219861300,0
41219860100,0
41219861300,0
51219860100,0
51219861300,0
61219860100,0
61219861300,0
71219860100,0
71219861300,0
81219860100,0
81219861300,0
91219860100,0
91219861300,0
101219860100,0
101219861300,0
111219860100,0
111219861300,0
121219860100,0
121219861300,0
131219860100,0
131219861300,0
141219860100,0
141219861300,0.08333
151219860100,1.71667
151219861300,0.26667
161219860100,0
161219861300,0
171219860100,0.83333
171219861300,0.99167
181219860100,0.44167
181219861300,0.225
191219860100,0.43333
191219861300,1.46667
201219860100,0.625
201219861300,0.9
211219860100,0.60833
211219861300,0.175
221219860100,0.425
221219861300,0.49167
231219860100,0.18333
231219861300,0.13333
241219860100,0.26667
241219861300,0.3
251219860100,0.25
251219861300,0.03333
261219860100,0.19167
261219861300,0.29167
271219860100,0.45833
271219861300,0.55
281219860100,0.50833
281219861300,0.65
291219860100,0.175
291219861300,0.74167
301219860100,0.29167
301219861300,0
311219860100,0
311219861300,0
10119870100,0.16667
10119871300,0.34167
20119870100,0.36667
20119871300,1.54167
30119870100,0.7
30119871300,0.28333
40119870100,0.2
40119871300,0
50119870100,0.175
50119871300,0.09167
60119870100,0.26667
60119871300,0.59167
70119870100,0.61667
70119871300,0.675
80119870100,0
80119871300,0
90119870100,0
90119871300,0.03333
100119870100,0
100119871300,0.225
110119870100,0.325
110119871300,0.40833
120119870100,0.3
120119871300,0
130119870100,0
130119871300,0
140119870100,0
140119871300,0.09167
150119870100,0.9
150119871300,0.29167
160119870100,0.125
160119871300,0.11667
170119870100,0
170119871300,0
180119870100,0
180119871300,0.08333
190119870100,0.06667
190119871300,0
200119870100,0
200119871300,0
210119870100,0
210119871300,0
220119870100,0
220119871300,0
230119870100,0
230119871300,0.28333
240119870100,0.89167
