Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/10/2010 07:00,17.534874,114.054701,0.301286,19.000000,156.334464,0.380446,0.121482
01/10/2010 08:00,26.441751,127.072793,0.445288,173.000000,277.270602,0.456530,0.625993
01/10/2010 09:00,33.808076,142.190433,0.556413,289.000000,379.996005,0.500700,0.763476
01/10/2010 10:00,38.834421,159.748596,0.627072,350.000000,446.801854,0.522376,0.786473
01/10/2010 11:00,40.725445,179.130097,0.652435,221.000000,469.413976,0.527465,0.472694
01/10/2010 12:00,39.106244,198.591425,0.630760,220.000000,442.066635,0.513792,0.499666
01/10/2010 13:00,34.299109,216.330566,0.563513,178.000000,374.698935,0.487452,0.476912
01/10/2010 14:00,27.082038,231.631751,0.455266,153.000000,274.880443,0.442611,0.558489
01/10/2010 15:00,18.263388,244.782426,0.313386,98.000000,156.147265,0.365248,0.627558
02/10/2010 07:00,17.285923,114.378428,0.297140,7.000000,144.107762,0.355376,0.100000
02/10/2010 08:00,26.163354,127.388029,0.440932,63.000000,260.015461,0.432095,0.243091
02/10/2010 09:00,33.491303,142.477222,0.551810,164.000000,360.930969,0.479265,0.456172
02/10/2010 10:00,38.477230,159.969384,0.622204,207.000000,420.435538,0.495105,0.494365
02/10/2010 11:00,40.338310,179.243367,0.647300,260.000000,441.154049,0.499350,0.591801
02/10/2010 12:00,38.709723,198.584520,0.625375,354.000000,420.446506,0.492583,0.845428
02/10/2010 13:00,33.911560,216.229257,0.557913,384.000000,364.189837,0.478256,1.000000
02/10/2010 14:00,26.711555,231.473391,0.449499,368.000000,268.952669,0.438364,1.000000
02/10/2010 15:00,17.909465,244.594496,0.307514,303.000000,152.519389,0.363360,1.000000
03/10/2010 07:00,17.035846,114.699603,0.292970,16.000000,145.162892,0.362860,0.110118
03/10/2010 08:00,25.883830,127.699914,0.436548,120.000000,266.125650,0.446428,0.452421
03/10/2010 09:00,33.173680,142.759869,0.547179,314.000000,364.025627,0.487179,0.865996
03/10/2010 10:00,38.119774,160.185801,0.617307,199.000000,425.868082,0.505183,0.469199
03/10/2010 11:00,39.951603,179.353191,0.642140,228.000000,445.199893,0.507679,0.514252
03/10/2010 12:00,38.314106,198.575795,0.619972,159.000000,420.879259,0.497095,0.379343
03/10/2010 13:00,33.525115,216.127326,0.552302,166.000000,359.056433,0.476024,0.464178
03/10/2010 14:00,26.342268,231.314840,0.443732,197.000000,262.862772,0.433751,0.751998
03/10/2010 15:00,17.556844,244.406324,0.301652,115.000000,146.189745,0.354840,0.786196
04/10/2010 07:00,16.784672,115.018098,0.288776,2.000000,135.078773,0.342356,0.100000
04/10/2010 08:00,25.603229,128.008327,0.432137,49.000000,249.741321,0.422971,0.196858
04/10/2010 09:00,32.855282,143.038274,0.542519,56.000000,348.756201,0.470476,0.161218
04/10/2010 10:00,37.762148,160.397775,0.612385,155.000000,409.527632,0.489416,0.380069
04/10/2010 11:00,39.565431,179.459508,0.636959,237.000000,431.334375,0.495577,0.551774
