Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140 ,530 ,1780  
02/08/2010 12:00,734352.500000,0.000000,1,1,1,5.000000,5.000000,5.000000 
02/08/2010 13:00,734352.541667,0.041667,1,1,1,6.142084,5.020295,5.000028 
02/08/2010 14:00,734352.583333,0.083333,1,1,1,6.873077,5.053107,5.000102 
02/08/2010 15:00,734352.625000,0.125000,1,1,1,7.385175,5.094252,5.000234 
02/08/2010 16:00,734352.666667,0.166667,1,1,1,7.658031,5.139284,5.000427 
02/08/2010 17:00,734352.708333,0.208333,1,1,1,7.706243,5.184122,5.000683 
02/08/2010 18:00,734352.750000,0.250000,1,1,1,7.527060,5.224729,5.000996 
02/08/2010 19:00,734352.791667,0.291667,1,1,1,7.184003,5.258293,5.001354 
02/08/2010 20:00,734352.833333,0.333333,1,1,1,6.831364,5.284808,5.001750 
02/08/2010 21:00,734352.875000,0.375000,1,1,1,6.497698,5.304776,5.002172 
