Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140 ,530 ,1780  
02/08/2010 12:00,734352.500000,0.000000,1,1,2,5.000000,5.000000,5.000000 
02/08/2010 13:00,734352.541667,0.041667,1,1,2,6.284359,5.022796,5.000032 
02/08/2010 14:00,734352.583333,0.083333,1,1,2,7.115646,5.059815,5.000115 
02/08/2010 15:00,734352.625000,0.125000,1,1,2,7.704961,5.106429,5.000263 
02/08/2010 16:00,734352.666667,0.166667,1,1,2,8.021130,5.157568,5.000483 
02/08/2010 17:00,734352.708333,0.208333,1,1,2,8.064613,5.208287,5.000772 
02/08/2010 18:00,734352.750000,0.250000,1,1,2,7.864143,5.254264,5.001126 
02/08/2010 19:00,734352.791667,0.291667,1,1,2,7.502647,5.292755,5.001532 
02/08/2010 20:00,734352.833333,0.333333,1,1,2,7.134680,5.323819,5.001982 
02/08/2010 21:00,734352.875000,0.375000,1,1,2,6.786635,5.347982,5.002464 
