Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/09/1986 06:30,20.068454,99.242986,0.343143,155.556000,212.012862,0.460504,0.733425
01/09/1986 07:30,29.900076,111.530856,0.498489,350.000000,350.560442,0.524137,1.000000
01/09/1986 08:30,38.847699,125.918152,0.627252,541.667000,472.159872,0.561016,1.000000
01/09/1986 09:30,46.107235,143.537206,0.720639,694.444000,553.963589,0.572906,1.000000
01/09/1986 10:30,50.557694,164.925024,0.772265,800.000000,615.926349,0.594393,1.000000
01/09/1986 11:30,51.132046,188.509603,0.778594,869.444000,609.701697,0.583591,1.000000
01/09/1986 12:30,47.661548,210.777366,0.739179,844.444000,574.657455,0.579365,1.000000
01/09/1986 13:30,41.047963,229.437894,0.656691,780.556000,484.075319,0.549334,1.000000
01/09/1986 14:30,32.461728,244.600137,0.536736,733.333000,366.558108,0.508930,1.000000
01/09/1986 15:30,22.797714,257.347066,0.387479,469.444000,233.691990,0.449431,1.000000
01/09/1986 16:30,12.655006,268.743956,0.219080,147.222000,103.062065,0.350553,1.000000
02/09/1986 06:30,19.858957,99.568461,0.339706,127.778000,203.858834,0.447055,0.626438
02/09/1986 07:30,29.674735,111.870273,0.495076,325.000000,341.024654,0.513145,0.955104
02/09/1986 08:30,38.592911,126.263763,0.623783,525.000000,455.918287,0.544466,1.000000
02/09/1986 09:30,45.810400,143.857549,0.717037,602.778000,544.880450,0.566067,1.000000
02/09/1986 10:30,50.216181,165.153107,0.768464,719.444000,581.906520,0.564064,1.000000
02/09/1986 11:30,50.763494,188.581030,0.774542,491.667000,589.422210,0.566855,0.836808
02/09/1986 12:30,47.293561,210.703129,0.734838,375.000000,553.761179,0.561322,0.679303
02/09/1986 13:30,40.695970,229.280811,0.652045,286.111000,477.113822,0.545026,0.601438
02/09/1986 14:30,32.126512,244.410437,0.531791,188.889000,365.944916,0.512553,0.517434
02/09/1986 15:30,22.473623,257.149873,0.382258,144.444000,231.406701,0.450894,0.624542
02/09/1986 16:30,12.335052,268.549982,0.213628,80.556000,94.159049,0.328284,0.842393
03/09/1986 06:30,19.648324,99.895808,0.336246,147.222000,212.846989,0.471337,0.691446
03/09/1986 07:30,29.447848,112.211080,0.491631,330.556000,341.697002,0.517504,0.969544
03/09/1986 08:30,38.336167,126.610041,0.620274,508.333000,469.579902,0.563675,1.000000
03/09/1986 09:30,45.511333,144.177691,0.713389,661.111000,557.301304,0.581645,1.000000
03/09/1986 10:30,49.872390,165.380826,0.764611,766.667000,598.963256,0.583237,1.000000
03/09/1986 11:30,50.392626,188.653343,0.770431,825.000000,603.790139,0.583483,1.000000
03/09/1986 12:30,46.923011,210.630887,0.730437,830.556000,559.596576,0.570374,1.000000
03/09/1986 13:30,40.341176,229.125613,0.647338,727.778000,460.565655,0.529686,1.000000
03/09/1986 14:30,31.788428,244.221965,0.526784,516.667000,355.559098,0.502491,1.000000
