date,WindV,WindD,relH,AirT,rad
310819862330,2.5,21.999987,95,-1.7,0
10919860030,1.8,275.999994,95,-7.7,0
10919860130,2.6,287.999996,95,-7.5,0
10919860230,3.5,324.999992,95,-7.5,0
10919860330,5,305,94,-6.8,0
10919860430,5.8,310.999994,93,-6.8,0
10919860530,5.5,297.000002,93,-5.6,19.444
10919860630,5.4,288.000003,90,-4.8,155.556
10919860730,4.5,309.000001,92,-3.7,350
10919860830,4.2,348.000002,92,-3.1,541.667
10919860930,3.4,321.000001,92,-1.2,694.444
10919861030,2.5,270,92,-3,800
10919861130,3.1,260.999998,92,-0.9,869.444
10919861230,3.7,264.000005,92,-1.6,844.444
10919861330,2.4,355.999989,93,0,780.556
10919861430,2.6,350.000005,93,0.8,733.333
10919861530,0.799999,328.000007,93,0.4,469.444
10919861630,0.7,274.000037,94,-3.1,147.222
10919861730,2.1,27.999993,95,-2.9,72.222
10919861830,0.7,6.000009,97,-3.1,0
10919861930,1.2,13.999986,96,-4.6,0
10919862030,3.1,314.000006,96,-4.9,0
10919862130,5.9,330.999997,96,-4,0
10919862230,5.8,327.999998,96,-4,0
10919862330,3.8,314.000005,96,-4.4,0
20919860030,4.2,303.999996,96,-5,0
20919860130,2.8,302.99999,96,-5.8,0
20919860230,3.7,327.000005,96,-5.7,0
20919860330,3.7,346.999998,96,-5.6,0
20919860430,5.2,335.999994,96,-5.2,0
20919860530,4.4,309.000005,96,-4.6,11.111
20919860630,3.7,280.999994,95,-3.7,127.778
20919860730,2.6,301,96,-2.7,325
20919860830,5.800001,294.000003,96,-1.1,525
20919860930,3.8,315,96,-0.8,602.778
20919861030,4.6,284.000004,96,1.4,719.444
20919861130,2,299.999997,97,1,491.667
20919861230,2.1,310.000006,97,0.5,375
20919861330,2.5,344.000007,99,-0.4,286.111
20919861430,2.9,322.000002,98,-0.8,188.889
20919861530,3,299.000003,98,-1,144.444
20919861630,3.5,339.999991,97,-0.9,80.556
20919861730,3.1,268.000008,97,-1.1,58.333
20919861830,4.1,263.000004,95,-1.6,16.667
20919861930,4.2,357,96,-1.6,0
20919862030,5.7,339.999998,96,-1.6,0
20919862130,5.9,330.999997,96,-2,0
20919862230,5.3,330.999998,96,-2.4,0
