"azimuth","horizon_ele"
2.5,3.90383
7.5,4.90579
12.5,5.84766
17.5,6.35036
22.5,6.70021
27.5,6.98626
32.5,7.18746
37.5,7.22805
42.5,7.42169
47.5,7.41128
52.5,7.29891
57.5,6.98969
62.5,6.45285
67.5,6.10848
72.5,6.03081
77.5,5.18376
82.5,4.83325
87.5,4.44726
92.5,4.19715
97.5,3.66769
102.5,2.95562
107.5,2.62338
112.5,2.09252
117.5,1.38258
122.5,0.787951
127.5,0.329968
132.5,0.219672
137.5,0.51377
142.5,0.292408
147.5,0.496807
152.5,1.6821
157.5,3.60276
162.5,6.26509
167.5,7.7489
172.5,9.54218
177.5,10.9012
182.5,12.1118
187.5,12.799
192.5,13.1218
197.5,13.2261
202.5,12.8043
207.5,11.9963
212.5,11.619
217.5,11.2968
222.5,12.5559
227.5,16.1685
232.5,17.3384
237.5,17.0727
242.5,15.1819
247.5,14.2576
252.5,13.4377
257.5,12.2858
262.5,8.96385
267.5,9.11403
272.5,8.60944
277.5,7.25822
282.5,6.2628
287.5,5.20649
292.5,4.28957
297.5,3.19875
302.5,2.13287
307.5,1.57051
312.5,1.33047
317.5,1.27781
322.5,1.31503
327.5,1.33643
332.5,1.33009
337.5,1.31757
342.5,1.44224
347.5,1.79491
352.5,2.26989
357.5,2.70322
