Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140.000000 ,530.000000 ,1780.000000  
15/10/2011 12:00,734791.500000,0.000000,0,0,2,5.000000,5.000000,5.000000 
15/10/2011 13:00,734791.541667,0.041667,1,1,2,6.055066,5.010422,5.000008 
15/10/2011 14:00,734791.583333,0.083333,1,1,2,6.589995,5.025991,5.000029 
15/10/2011 15:00,734791.625000,0.125000,1,1,2,6.753435,5.042969,5.000063 
15/10/2011 16:00,734791.666667,0.166667,1,1,2,7.554395,5.067636,5.000116 
15/10/2011 17:00,734791.708333,0.208333,1,1,2,8.502369,5.101343,5.000196 
15/10/2011 18:00,734791.750000,0.250000,1,1,2,9.268621,5.142175,5.000308 
15/10/2011 19:00,734791.791667,0.291667,1,1,2,9.876922,5.188480,5.000457 
15/10/2011 20:00,734791.833333,0.333333,1,1,2,10.480797,5.240141,5.000647 
15/10/2011 21:00,734791.875000,0.375000,1,1,2,10.967433,5.295931,5.000880 
15/10/2011 22:00,734791.916667,0.416667,1,1,2,10.936352,5.350680,5.001156 
15/10/2011 23:00,734791.958333,0.458333,1,1,2,11.297419,5.408277,5.001478 
16/10/2011 00:00,734792.000000,0.500000,1,1,2,11.519276,5.467309,5.001846 
16/10/2011 01:00,734792.041667,0.541667,1,1,2,11.423141,5.524616,5.002260 
16/10/2011 02:00,734792.083333,0.583333,1,1,2,11.456186,5.581497,5.002717 
16/10/2011 03:00,734792.125000,0.625000,1,1,2,11.623263,5.639282,5.003221 
16/10/2011 04:00,734792.166667,0.666667,1,1,2,11.557435,5.695658,5.003768 
16/10/2011 05:00,734792.208333,0.708333,1,1,2,11.379823,5.749541,5.004357 
16/10/2011 06:00,734792.250000,0.750000,1,1,2,11.341951,5.802342,5.004988 
16/10/2011 07:00,734792.291667,0.791667,1,1,2,11.425729,5.855279,5.005660 
16/10/2011 08:00,734792.333333,0.833333,1,1,2,11.641610,5.909654,5.006375 
16/10/2011 09:00,734792.375000,0.875000,1,1,2,11.683383,5.963729,5.007132 
16/10/2011 10:00,734792.416667,0.916667,1,1,2,11.170916,6.012034,5.007926 
16/10/2011 11:00,734792.458333,0.958333,1,1,2,10.950413,6.057527,5.008755 
16/10/2011 12:00,734792.500000,1.000000,1,1,2,10.571423,6.098681,5.009617 
16/10/2011 13:00,734792.541667,1.041667,1,1,2,10.197490,6.135604,5.010507 
16/10/2011 14:00,734792.583333,1.083333,1,1,2,10.199469,6.172063,5.011425 
