Date12[DDMMYYYYhhmm],snow_depth[mm],snow_water_equivalent[mm],Tair[C],Tsurface[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2]
15/10/2011 13:00,0.000000,0.000000,9.850000,25.132651,203.323074,203.323074,450.108429,384.293411,65.815018,295.995784
15/10/2011 14:00,0.000000,0.000000,2.200000,13.231640,73.740985,73.740985,390.652659,303.851653,86.801006,345.703521
15/10/2011 15:00,0.000000,0.000000,13.950000,10.906141,46.404532,46.404532,242.241035,165.534802,76.706233,321.379216
15/10/2011 16:00,0.000000,0.000000,-13.350000,-11.016419,-165.110258,-165.110258,80.253510,26.251288,54.002222,265.087187
15/10/2011 17:00,0.000000,0.000000,-46.650000,-39.387400,-454.265838,-454.265838,8.868134,0.023188,8.844946,184.896925
15/10/2011 18:00,0.000000,0.000000,-48.950000,-40.384312,-444.231088,-444.231088,0.606440,0.000000,0.606440,134.886629
15/10/2011 19:00,0.000000,0.000000,-49.700000,-36.789553,-389.855001,-389.855001,0.041471,0.000000,0.041471,133.523611
15/10/2011 20:00,0.000000,0.000000,-52.350000,-39.068689,-423.326996,-423.326996,0.002836,0.000000,0.002836,137.510644
15/10/2011 21:00,0.000000,0.000000,-53.150000,-36.885813,-408.168256,-408.168256,0.000194,0.000000,0.000194,134.169772
15/10/2011 22:00,0.000000,0.000000,-42.100000,-24.946033,-279.794915,-279.794915,0.000014,0.000000,0.000014,146.399318
15/10/2011 23:00,0.000000,0.000000,-48.000000,-31.256035,-356.848682,-356.848682,0.000001,0.000000,0.000001,161.193579
16/10/2011 00:00,0.000000,0.000000,-44.550000,-28.470537,-330.094136,-330.094136,0.000000,0.000000,0.000000,154.223216
16/10/2011 01:00,0.000000,0.000000,-38.300000,-20.017172,-234.173470,-234.173470,0.000000,0.000000,0.000000,165.312026
16/10/2011 02:00,0.000000,0.000000,-39.850000,-21.068902,-249.033366,-249.033366,0.000000,0.000000,0.000000,179.117681
16/10/2011 03:00,0.000000,0.000000,-40.450000,-26.866946,-322.004291,-322.004291,0.000000,0.000000,0.000000,177.330042
16/10/2011 04:00,0.000000,0.000000,-36.700000,-19.899743,-239.557555,-239.557555,0.000000,0.000000,0.000000,171.950836
16/10/2011 05:00,0.000000,0.000000,-30.250000,-14.005332,-168.023197,-168.023197,0.000000,0.000000,0.000000,192.651229
16/10/2011 06:00,0.000000,0.000000,-31.700000,-17.817159,-215.454259,-215.454259,2.331468,0.098174,2.233293,202.792381
16/10/2011 07:00,0.000000,0.000000,-35.750000,-14.435820,-173.362398,-173.362398,38.776593,5.668990,33.107603,191.400295
16/10/2011 08:00,0.000000,0.000000,-28.150000,-8.732185,-101.690774,-101.690774,108.562497,33.371150,75.191347,208.371964
16/10/2011 09:00,0.000000,0.000000,-10.300000,-0.429726,2.052852,2.052852,158.369027,48.025027,110.344000,250.216863
16/10/2011 10:00,0.000000,0.000000,28.450000,12.700436,164.858378,164.858378,175.793544,42.966472,132.827072,374.488238
16/10/2011 11:00,0.000000,0.000000,20.300000,16.665863,197.325140,197.325140,372.006532,244.500451,127.506081,340.952238
16/10/2011 12:00,0.000000,0.000000,27.400000,20.908096,199.078573,199.078573,562.523736,468.637780,93.885956,348.452255
16/10/2011 13:00,0.000000,0.000000,25.900000,19.324192,163.834018,163.834018,506.343956,396.915243,109.428713,359.562957
16/10/2011 14:00,0.000000,0.000000,16.300000,14.299712,144.452995,144.452995,402.001231,305.598365,96.402865,341.477729
16/10/2011 15:00,0.000000,0.000000,15.750000,11.860088,119.861926,119.861926,241.244089,157.935488,83.308601,328.411106
16/10/2011 16:00,0.000000,0.000000,7.450000,4.460771,44.777471,44.777471,74.437077,18.141675,56.295403,306.657607
16/10/2011 17:00,0.000000,0.000000,1.050000,-0.197664,-1.340596,-1.340596,8.142456,0.012140,8.130317,287.063254
16/10/2011 18:00,0.000000,0.000000,-4.050000,-3.783284,-43.355955,-43.355955,0.648044,0.000000,0.648044,264.677132
16/10/2011 19:00,0.000000,0.000000,-28.500000,-21.821916,-257.670506,-257.670506,0.051518,0.000000,0.051518,217.573898
16/10/2011 20:00,0.000000,0.000000,-41.450000,-32.530974,-391.069053,-391.069053,0.004104,0.000000,0.004104,169.187783
16/10/2011 21:00,0.000000,0.000000,-37.350000,-24.560227,-297.365033,-297.365033,0.000333,0.000000,0.000333,155.392321
16/10/2011 22:00,0.000000,0.000000,-39.600000,-26.716733,-326.240301,-326.240301,0.000028,0.000000,0.000028,166.814680
16/10/2011 23:00,0.000000,0.000000,-41.550000,-26.673969,-326.658760,-326.658760,0.000002,0.000000,0.000002,161.808026
17/10/2011 00:00,0.000000,0.000000,-36.650000,-21.970261,-266.181084,-266.181084,0.000000,0.000000,0.000000,166.874614
17/10/2011 01:00,0.000000,0.000000,-30.500000,-16.103724,-189.459166,-189.459166,0.000000,0.000000,0.000000,182.138279
17/10/2011 02:00,0.000000,0.000000,-25.600000,-12.559159,-142.009757,-142.009757,0.000000,0.000000,0.000000,199.565293
17/10/2011 03:00,0.000000,0.000000,2.655000,-4.450117,-37.449348,-37.449348,0.000000,0.000000,0.000000,257.447023
17/10/2011 04:00,0.000000,0.000000,2.455000,-3.499072,-25.147267,-25.147267,0.000000,0.000000,0.000000,274.651284
17/10/2011 05:00,0.000000,0.000000,2.055000,-3.412776,-23.986284,-23.986284,0.000000,0.000000,0.000000,276.430759
