DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/06/2000 12:01,0.000694,730638.500694,152.500694,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.354712e-08,1.489041e-05,0.000000e+00
01/06/2000 12:02,0.001389,730638.501389,152.501389,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.455093e-07,1.438286e-05,0.000000e+00
01/06/2000 12:03,0.002083,730638.502083,152.502083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.622253e-06,1.451539e-05,0.000000e+00
01/06/2000 12:04,0.002778,730638.502778,152.502778,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.996981e-06,1.465341e-05,0.000000e+00
01/06/2000 12:05,0.003472,730638.503472,152.503472,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.042947e-05,1.476887e-05,0.000000e+00
01/06/2000 12:06,0.004167,730638.504167,152.504167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.299443e-05,1.486275e-05,0.000000e+00
01/06/2000 12:07,0.004861,730638.504861,152.504861,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.936804e-05,1.493946e-05,0.000000e+00
01/06/2000 12:08,0.005556,730638.505556,152.505556,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.477320e-05,1.500328e-05,0.000000e+00
01/06/2000 12:09,0.006250,730638.506250,152.506250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.555271e-05,1.505891e-05,0.000000e+00
01/06/2000 12:10,0.006944,730638.506944,152.506944,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.852155e-05,1.510726e-05,0.000000e+00
01/06/2000 12:11,0.007639,730638.507639,152.507639,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.618782e-05,1.514799e-05,0.000000e+00
01/06/2000 12:12,0.008333,730638.508333,152.508333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.022366e-05,1.518431e-05,0.000000e+00
01/06/2000 12:13,0.009028,730638.509028,152.509028,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.465234e-05,1.521793e-05,0.000000e+00
01/06/2000 12:14,0.009722,730638.509722,152.509722,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.691229e-05,1.525028e-05,0.000000e+00
01/06/2000 12:15,0.010417,730638.510417,152.510417,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.155091e-04,1.528061e-05,0.000000e+00
01/06/2000 12:16,0.011111,730638.511111,152.511111,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.357379e-04,1.530818e-05,0.000000e+00
01/06/2000 12:17,0.011806,730638.511806,152.511806,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.568620e-04,1.533296e-05,0.000000e+00
01/06/2000 12:18,0.012500,730638.512500,152.512500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.797603e-04,1.535556e-05,0.000000e+00
01/06/2000 12:19,0.013194,730638.513194,152.513194,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.072086e-04,1.537758e-05,0.000000e+00
01/06/2000 12:20,0.013889,730638.513889,152.513889,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.370333e-04,1.539977e-05,0.000000e+00
01/06/2000 12:21,0.014583,730638.514583,152.514583,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.684629e-04,1.542103e-05,0.000000e+00
01/06/2000 12:22,0.015278,730638.515278,152.515278,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.024240e-04,1.544044e-05,0.000000e+00
01/06/2000 12:23,0.015972,730638.515972,152.515972,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.373559e-04,1.545823e-05,0.000000e+00
01/06/2000 12:24,0.016667,730638.516667,152.516667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.746990e-04,1.547527e-05,0.000000e+00
01/06/2000 12:25,0.017361,730638.517361,152.517361,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.096267e-04,1.549192e-05,0.000000e+00
01/06/2000 12:26,0.018056,730638.518056,152.518056,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.448164e-04,1.550839e-05,0.000000e+00
01/06/2000 12:27,0.018750,730638.518750,152.518750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.829037e-04,1.552447e-05,0.000000e+00
01/06/2000 12:28,0.019444,730638.519444,152.519444,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.183533e-04,1.553987e-05,0.000000e+00
01/06/2000 12:29,0.020139,730638.520139,152.520139,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.547122e-04,1.555480e-05,0.000000e+00
01/06/2000 12:30,0.020833,730638.520833,152.520833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.889220e-04,1.556916e-05,0.000000e+00
