Dz,Kh,Kv,res,sat,a,n,ss
10,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
20,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
40,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
80,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
100,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
150,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
200,0.01,0.01,0.067,0.37,0.0019,6,0.00000032
