DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/01/2000 00:06,0.004167,730486.004167,0.004167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:12,0.008333,730486.008333,0.008333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:18,0.012500,730486.012500,0.012500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:24,0.016667,730486.016667,0.016667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:30,0.020833,730486.020833,0.020833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:36,0.025000,730486.025000,0.025000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:42,0.029167,730486.029167,0.029167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:48,0.033333,730486.033333,0.033333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 00:54,0.037500,730486.037500,0.037500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:00,0.041667,730486.041667,0.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:06,0.045833,730486.045833,0.045833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:12,0.050000,730486.050000,0.050000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:18,0.054167,730486.054167,0.054167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:24,0.058333,730486.058333,0.058333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:30,0.062500,730486.062500,0.062500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:36,0.066667,730486.066667,0.066667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:42,0.070833,730486.070833,0.070833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:48,0.075000,730486.075000,0.075000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 01:54,0.079167,730486.079167,0.079167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 02:00,0.083333,730486.083333,0.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 02:06,0.087500,730486.087500,0.087500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/01/2000 02:12,0.091667,730486.091667,0.091667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.652572e-05,0.000000e+00,0.000000e+00
01/01/2000 02:18,0.095833,730486.095833,0.095833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.230815e-04,0.000000e+00,0.000000e+00
01/01/2000 02:24,0.100000,730486.100000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.632765e-03,0.000000e+00,0.000000e+00
01/01/2000 02:30,0.104167,730486.104167,0.104167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.255146e-03,0.000000e+00,0.000000e+00
01/01/2000 02:36,0.108333,730486.108333,0.108333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.751168e-03,0.000000e+00,0.000000e+00
01/01/2000 02:42,0.112500,730486.112500,0.112500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.204229e-03,0.000000e+00,0.000000e+00
01/01/2000 02:48,0.116667,730486.116667,0.116667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.592524e-03,0.000000e+00,0.000000e+00
01/01/2000 02:54,0.120833,730486.120833,0.120833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.928639e-03,0.000000e+00,0.000000e+00
01/01/2000 03:00,0.125000,730486.125000,0.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.242755e-03,0.000000e+00,0.000000e+00
01/01/2000 03:06,0.129167,730486.129167,0.129167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.664039e-03,0.000000e+00,0.000000e+00
01/01/2000 03:12,0.133333,730486.133333,0.133333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.508135e-03,0.000000e+00,0.000000e+00
01/01/2000 03:18,0.137500,730486.137500,0.137500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.428075e-03,0.000000e+00,0.000000e+00
01/01/2000 03:24,0.141667,730486.141667,0.141667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.367117e-03,0.000000e+00,0.000000e+00
01/01/2000 03:30,0.145833,730486.145833,0.145833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.315468e-03,0.000000e+00,0.000000e+00
01/01/2000 03:36,0.150000,730486.150000,0.150000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.269232e-03,0.000000e+00,0.000000e+00
01/01/2000 03:42,0.154167,730486.154167,0.154167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.226577e-03,0.000000e+00,0.000000e+00
01/01/2000 03:48,0.158333,730486.158333,0.158333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.186526e-03,0.000000e+00,0.000000e+00
01/01/2000 03:54,0.162500,730486.162500,0.162500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.148471e-03,0.000000e+00,0.000000e+00
01/01/2000 04:00,0.166667,730486.166667,0.166667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.112040e-03,0.000000e+00,0.000000e+00
01/01/2000 04:06,0.170833,730486.170833,0.170833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.076832e-03,0.000000e+00,0.000000e+00
01/01/2000 04:12,0.175000,730486.175000,0.175000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.042511e-03,0.000000e+00,0.000000e+00
01/01/2000 04:18,0.179167,730486.179167,0.179167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.008947e-03,0.000000e+00,0.000000e+00
01/01/2000 04:24,0.183333,730486.183333,0.183333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.975894e-03,0.000000e+00,0.000000e+00
01/01/2000 04:30,0.187500,730486.187500,0.187500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.943129e-03,0.000000e+00,0.000000e+00
01/01/2000 04:36,0.191667,730486.191667,0.191667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.910490e-03,0.000000e+00,0.000000e+00
01/01/2000 04:42,0.195833,730486.195833,0.195833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.877861e-03,0.000000e+00,0.000000e+00
01/01/2000 04:48,0.200000,730486.200000,0.200000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.845150e-03,0.000000e+00,0.000000e+00
01/01/2000 04:54,0.204167,730486.204167,0.204167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.812283e-03,0.000000e+00,0.000000e+00
01/01/2000 05:00,0.208333,730486.208333,0.208333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.779874e-03,0.000000e+00,0.000000e+00
