! Horizon file for met station B2
! All measures in degrees

AngleFromNorthClockwise,HorizonHeight
2.50,13.98
7.50,18.54
12.50,21.00
17.50,21.13
22.50,21.49
27.50,22.17
32.50,22.92
37.50,23.53
42.50,24.13
47.50,24.59
52.50,24.95
57.50,24.41
62.50,24.53
67.50,24.09
72.50,23.90
77.50,23.61
82.50,23.02
87.50,22.49
92.50,21.52
97.50,20.29
102.50,19.65
107.50,19.13
112.50,18.32
117.50,16.97
122.50,14.91
127.50,14.38
132.50,11.34
137.50,11.00
142.50,10.22
147.50,9.85
152.50,9.05
157.50,7.45
162.50,5.73
167.50,5.26
172.50,5.21
177.50,5.74
182.50,6.80
187.50,7.32
192.50,6.62
197.50,5.81
202.50,4.72
207.50,5.94
212.50,5.00
217.50,5.15
222.50,4.81
227.50,5.00
232.50,5.57
237.50,6.29
242.50,7.00
247.50,7.64
252.50,6.21
257.50,4.00
262.50,3.44
267.50,3.99
272.50,5.29
277.50,5.35
282.50,6.01
287.50,6.10
292.50,6.40
297.50,6.85
302.50,6.81
307.50,6.15
312.50,6.11
317.50,6.60
322.50,7.34
327.50,7.26
332.50,7.06
337.50,7.10
342.50,8.38
347.50,10.26
352.50,12.12
357.50,13.82
