Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,stor
10,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
10,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
10,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
20,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
20,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
30,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
50,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
50,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
50,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
50,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
100,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
100,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
100,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
100,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
150,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
150,2.86E-03,2.86E-03,0.05,0.08,0.25,0.53,0.00131,1.5,5.00E-07
